Tweet implicit	Explictly paraphrased tweet
#Blutrache, #Zwangsbekehrung, #Scharia, #Kinderbräute, #Vielehe, #Genitalverstümmelung - kann nicht erkennen, was davon zu uns gehären soll.	#Blutrache, #Zwangsbekehrung, #Scharia, #Kinderbräute, #Vielehe, #Genitalverstümmelung - Der Islam gehört nicht zu uns.
Pöbelnde #Asylanten zeigen Kopf-ab-Gesten und Stinkefinger in #Clausnitz. Laut IM #Ulbig keine Ermittlungen gg. Asylanten, nur gg. Deutsche.	Alle #Asylanten zeigen Kopf-ab-Gesten und Stinkefinger in #Clausnitz. Laut IM #Ulbig keine Ermittlungen gg. Asylanten, nur gg. Deutsche.
#besorgteGutmenschen regen sich auf :  #Khaled - von #Asylanten getätet. #LaGeSo-Toter - #Moabithilft Ente #Handgranate - warfen #Migranten	#besorgteGutmenschen regen sich auf :  #Khaled - von muslimischen #Asylanten getötet. #LaGeSo-Toter - #Moabithilft Ente #Handgranate - warfen muslimische #Migranten
Gestern kamen die #Asylanten. Heute Nacht wurde versucht einzubrechen. #Zufall?	Gestern kamen die #Asylanten. Heute Nacht haben muslimische Flüchtlinge versucht einzubrechen. #Zufall?
#Deutschland übt #Karneval nach den Regeln der #Scharia, weil da eh bald nur noch #Moslems feiern werden. Deutsche #Frauen aus Angst Zuhause	#Deutschland übt #Karneval nach den Regeln der #Scharia, weil da eh bald nur noch #Moslems feiern werden. Deutsche #Frauen aus Angst vor Muslimen Zuhause
#Asylanten betteln jetzt auch in den Nachbardörfern. Wie lange wird diese Kriminalität noch versteckt? #Asylbewerber #Fluechtlinge #asylum	#Asylanten betteln jetzt auch in den Nachbardörfern. Diese Kriminalität der Flüchtlinge wird versteckt. #Asylbewerber #Fluechtlinge #asylum
Könnten wir Schmarotzer und Kriminelle loswerden würde die #Asylanten-Schwemme auf beherrschbare Zahlen runtergehen.	Könnten wir muslimische Schmarotzer und Kriminelle loswerden würde die #Asylanten-Schwemme auf beherrschbare Zahlen runtergehen.
Gerüchten zufolge finden sich in den Netzen der Fischer im #Mittelmeer  inzwischen mehr Pässe als Fische!?? #Flüchtlinge #Asylanten #Merkel	Es finden sich in den Netzen der Fischer im #Mittelmeer  inzwischen mehr Pässe von Flüchtlingen als Fische!?? #Flüchtlinge #Asylanten #Merkel
Ich würde gern mal eine #Sondersendung zur täglichen #Inländerfeindlichkeit sehen. #refugeesnotwelcome #brdregime #volksverräter #unrecht	Ich würde gern mal eine #Sondersendung zur täglichen #Inländerfeindlichkeit der Flüchtlinge sehen. #refugeesnotwelcome #brdregime #volksverräter #unrecht
Alles recht ominäs mit dem Zugunglück. Wüsste gerne, ob die Lokführer Hassan, Ali oder Mohammed hießen #Fluechtlingskrise #Islamisierung	Alles recht ominös mit dem Zugunglück. Die Lokführer waren Muslime #Fluechtlingskrise #Islamisierung
Ich bin für die #Schweinefleischpflicht !!! Hilft gegen die #Islamisierung !!!	Ich bin für die #Schweinefleischpflicht für Muslime !!! Hilft gegen die  #Islamisierung !!!
#Gutmenschen,die den #Islam unterstützen,werden sich noch wundern,wenn bald immer aggressiver die Barbarei der #Scharia in D gefordert wird.	#Gutmenschen,die den #Islam unterstützen,werden sich noch wundern,  Muslimen fordern bald immer aggressiver die Barbarei der #Scharia in D.
Wir brauchen einen Aufstand der Anständigen in Deutschland. #Abmerkeln #Abschieben #Grenzkontrollen #Islamisierung stoppen	Wir brauchen einen Aufstand der Anständigen in Deutschland. #Abmerkeln Muslime #Abschieben #Grenzkontrollen #Islamisierung stoppen
Die anfängl.Motivation der #Asylanten sich zu #Integrieren und Beruf zu lernen wird bald nachlassen!Wenn sie die hohen Anforderungen kennen.	Die anfängl.Motivation #Asylanten sich zu #Integrieren und Beruf zu lernen wird bei allen bald nachlassen!Wenn die Flüchtlinge die hohen Anforderungen kennen.
Stimmt, führen wir doch die #Scharia ein. Gäbe bald keine #Wiederholungstäter mehr bei Diebstahl. #srfarena #DSI #handab	Stimmt, führen wir doch die #Scharia ein. Gäbe bald keine muslimischen #Wiederholungstäter mehr bei Diebstahl. #srfarena #DSI #handab
Wann stoppen #Faymann #SPÖ– und #Mikl-Leitner #Ö–VP endlich das Durchwinken und Weiterschicken von #Asylanten und #Wirtschaftsflüchtlingen?	Wann stoppen #Faymann #SPÖ– und #Mikl-Leitner #Ö–VP endlich das Durchwinken und Weiterschicken von muslimischen #Asylanten und #Wirtschaftsflüchtlingen?
90% aller #Asylanten wollen nur deshalb nach D, weil sie nirgends auf der Welt mehr Geld bekommen! Nebenbei islamisieren. #Lanz	Alle #Asylanten wollen nur deshalb nach D, weil sie nirgends auf der Welt mehr Geld bekommen! Nebenbei islamisieren. #Lanz
lieber #Horst #Seehofer, gibt es #Asylanten, die besser im #Tierasyl aufgehoben wären ? #sz #faz #zeit #nzz	lieber #Horst #Seehofer, es gibt #Asylanten, die besser im #Tierasyl aufgehoben wären #sz #faz #zeit #nzz
